period_end,county,state,state_code,property_type,property_type_id,median_sale_price,median_sale_price_mom,median_ppsf,median_list_price,homes_sold,homes_sold_mom,homes_sold_yoy,median_dom,daily_cases,percentage_fully_vaccinated,risk_index,risk,cost_of_living_rank,tax_burden,medianage
2021-11-30,Carter County,Tennessee,TN,All Residential,-1,1795000.0,,448.75,,1.0,,,178.0,15803.0,0.398,5.0,Extreme,49.0,5.74,39.0
2021-11-30,Concho County,Texas,TX,All Residential,-1,569020.0,,158.76625037503752,48000.0,2.0,,,17.0,1019.0,0.492,3.0,Critical,30.0,8.19,35.0
2021-11-30,Wilkin County,Minnesota,MN,All Residential,-1,220000.0,-0.0794979079497908,111.72549019607844,119450.0,5.0,0.6666666666666667,,56.0,1597.0,0.536,5.0,Extreme,6.0,9.99,38.0
2021-11-30,Archer County,Texas,TX,All Residential,-1,5700000.0,,2638.8888888888887,23000.0,1.0,,,22.0,2083.0,0.594,2.0,High,30.0,8.19,35.0
2021-11-30,Lee County,South Carolina,SC,All Residential,-1,219055.0,-0.1641355363070935,99.22073460997512,115000.0,2.0,-0.3333333333333333,,74.0,4188.0,0.465,2.0,High,40.0,7.45,39.0
2021-11-30,Newton County,Mississippi,MS,All Residential,-1,156000.0,,68.3311432325887,199450.0,1.0,,-0.5,91.0,5913.0,0.523,3.0,Critical,15.0,8.99,38.0
2021-11-30,Coal County,Oklahoma,OK,All Residential,-1,160000.0,0.6,79.2864222001982,143700.0,1.0,-0.6666666666666667,0.0,91.0,1621.0,0.401,5.0,Extreme,44.0,7.13,37.0
2021-11-30,Grant County,Oklahoma,OK,All Residential,-1,39900.0,-0.1939393939393939,35.978358881875565,,1.0,-0.5,,3.0,1019.0,0.421,3.0,Critical,44.0,7.13,37.0
2021-11-30,Union County,Arkansas,AR,All Residential,-1,85000.0,,52.79503105590062,,1.0,,,354.0,9015.0,0.48,2.0,High,20.0,8.8,38.0
2021-11-30,Pershing County,Nevada,NV,All Residential,-1,226000.0,0.0813397129186603,144.65817201666258,307000.0,6.0,5.0,5.0,66.0,1390.0,0.356,1.0,Medium,29.0,8.23,38.0
2021-11-30,Camas County,Idaho,ID,All Residential,-1,290000.0,,149.44782564708763,,4.0,,3.0,63.0,138.0,0.428,5.0,Extreme,36.0,7.88,36.0
2021-11-30,Frio County,Texas,TX,All Residential,-1,92000.0,-0.6413255360623781,100.63319764812302,149950.0,3.0,-0.25,-0.25,56.0,5186.0,0.607,3.0,Critical,30.0,8.19,35.0
2021-11-30,Power County,Idaho,ID,All Residential,-1,204900.0,,139.95901639344262,,1.0,,,31.0,1474.0,0.507,3.0,Critical,36.0,7.88,36.0
2021-11-30,Kay County,Oklahoma,OK,All Residential,-1,245000.0,4.384615384615385,91.14583333333331,99000.0,1.0,0.0,0.0,,11921.0,0.418,3.0,Critical,44.0,7.13,37.0
2021-11-30,Ohio County,Indiana,IN,All Residential,-1,173250.0,1.1930379746835444,68.50771482927311,229900.0,2.0,1.0,1.0,72.0,1436.0,0.744,2.0,High,33.0,8.15,38.0
2021-11-30,Lee County,Georgia,GA,All Residential,-1,99000.0,,81.70753041231563,179900.0,2.0,,,20.0,7201.0,0.454,3.0,Critical,35.0,7.91,37.0
2021-11-30,Brooks County,Georgia,GA,All Residential,-1,269500.0,,125.81699346405227,,1.0,,,,3389.0,0.475,2.0,High,35.0,7.91,37.0
2021-11-30,Pierce County,Georgia,GA,All Residential,-1,90000.0,-0.2653061224489795,70.75471698113208,2345000.0,1.0,0.0,,14.0,5488.0,0.33,3.0,Critical,35.0,7.91,37.0
2021-11-30,Kinney County,Texas,TX,All Residential,-1,155000.0,,96.27329192546584,120000.0,1.0,,-0.6666666666666667,29.0,701.0,0.5,3.0,Critical,30.0,8.19,35.0
2021-11-30,Gibson County,Tennessee,TN,All Residential,-1,251950.0,0.6521311475409836,125.1875,,2.0,0.0,,37.0,16912.0,0.446,5.0,Extreme,49.0,5.74,39.0
2021-11-30,Wheeler County,Georgia,GA,All Residential,-1,87500.0,,72.07578253706755,,1.0,,,89.0,1398.0,0.261,3.0,Critical,35.0,7.91,37.0
2021-11-30,Greenwood County,South Carolina,SC,All Residential,-1,230000.0,0.3068181818181818,132.87904599659285,259000.0,9.0,2.0,0.8,50.0,22135.0,0.474,3.0,Critical,40.0,7.45,39.0
2021-11-30,Wheeler County,Oregon,OR,All Residential,-1,174000.0,0.1999999999999999,173.33051563820794,250000.0,2.0,0.0,,61.0,243.0,0.542,5.0,Extreme,27.0,8.29,39.0
2021-11-30,Texas County,Oklahoma,OK,All Residential,-1,100000.0,,40.849673202614376,,1.0,,,16.0,5936.0,0.435,2.0,High,44.0,7.13,37.0
2021-11-30,Lincoln County,Mississippi,MS,All Residential,-1,246000.0,,63.68107688325136,67400.0,1.0,,,16.0,8203.0,0.381,3.0,Critical,15.0,8.99,38.0
2021-11-30,Sabine County,Texas,TX,All Residential,-1,625000.0,0.0162601626016261,125.0,115450.0,1.0,0.0,,423.0,1222.0,0.364,2.0,High,30.0,8.19,35.0
2021-11-30,Jeff Davis County,Georgia,GA,All Residential,-1,56500.0,-0.7847619047619047,50.98087701945269,,2.0,1.0,1.0,402.0,3863.0,0.305,3.0,Critical,35.0,7.91,37.0
