period_end,county,state,state_code,median_ppsf,tax_burden,medianage,cost_of_living_rank,elementary_school_rating,middle_school_rating,high_school_rating,daily_cases,percentage_fully_vaccinated,risk_index,risk
2023-12-31,Franklin City County,Virginia,VA,115.08957069396972,7.86,38.0,37.0,3,5,4,,,,
2023-12-31,Murray County,Minnesota,MN,70.18326568603516,9.99,38.0,6.0,7,9,5,2027.0,54.6,0.0,Low
2023-12-31,Pierce County,Washington,WA,285.3365522658175,8.34,38.0,24.0,1,6,10,193118.0,65.5,1.0,Medium
2023-12-31,White County,Georgia,GA,174.21578674316407,7.91,37.0,35.0,8,5,3,6826.0,35.6,2.0,High
2023-12-31,East Feliciana Parish,Louisiana,LA,130.01123046875,8.82,37.0,19.0,8,8,9,7303.0,40.6,1.0,Medium
2023-12-31,Mahoning County,Ohio,OH,99.30679122941255,8.96,39.0,16.0,6,6,3,53406.0,56.99999999999999,1.0,Medium
2023-12-31,Green County,Wisconsin,WI,126.65158081054688,8.89,40.0,17.0,7,9,8,9214.0,64.1,2.0,High
2023-12-31,Ada County,Idaho,ID,278.9798278808594,7.88,36.0,36.0,3,6,7,133929.0,64.1,1.0,Medium
2023-12-31,Knox County,Texas,TX,56.52676200866699,8.19,35.0,30.0,9,4,9,491.0,39.5,0.0,Low
2023-12-31,Burlington County,New Jersey,NJ,175.49261474609375,9.98,40.0,7.0,4,7,7,102870.0,74.4,2.0,High
2023-12-31,Saunders County,Nebraska,NE,132.7293153084811,9.01,37.0,14.0,9,4,10,5025.0,52.5,0.0,Low
2023-12-31,Comanche County,Oklahoma,OK,89.35638031162357,7.13,37.0,44.0,2,10,6,33062.0,60.7,1.0,Medium
2023-12-31,Macomb County,Michigan,MI,154.89749700094828,8.34,40.0,24.0,6,8,4,230888.0,56.8,2.0,High
2023-12-31,Berrien County,Georgia,GA,69.58607512712479,7.91,37.0,35.0,5,4,6,4937.0,33.800000000000004,1.0,Medium
2023-12-31,Rensselaer County,New York,NY,135.58885192871094,12.79,39.0,1.0,2,2,2,31836.0,70.5,3.0,Critical
2023-12-31,Nez Perce County,Idaho,ID,186.86593627929688,7.88,36.0,36.0,6,8,6,8914.0,55.900000000000006,1.0,Medium
2023-12-31,Lee County,Illinois,IL,82.654871225448,9.52,38.0,9.0,8,1,10,8785.0,59.7,1.0,Medium
2023-12-31,Jasper County,Texas,TX,114.7528630097707,8.19,35.0,30.0,1,9,4,6081.0,36.2,1.0,Medium
2023-12-31,DeSoto County,Mississippi,MS,139.2237091064453,8.99,38.0,15.0,5,5,9,50104.0,54.3,1.0,Medium
2023-12-31,Butler County,Ohio,OH,132.16567608668709,8.96,39.0,16.0,4,1,6,92921.0,56.8,1.0,Medium
2023-12-31,Suffolk County,Massachusetts,MA,571.9551174567828,8.77,40.0,21.0,1,4,7,214356.0,73.2,3.0,Critical
2023-12-31,Lincoln County,Georgia,GA,172.244140625,7.91,37.0,35.0,4,8,2,1604.0,45.9,1.0,Medium
2023-12-31,Carroll County,New Hampshire,NH,230.21206665039065,6.84,43.0,46.0,7,3,4,9411.0,,3.0,Critical
2023-12-31,Kalamazoo County,Michigan,MI,140.23601944061917,8.34,40.0,24.0,5,8,6,59282.0,61.4,2.0,High
2023-12-31,Giles County,Tennessee,TN,149.24749973842077,5.74,39.0,49.0,1,7,8,9407.0,39.3,2.0,High
2023-12-31,Moore County,North Carolina,NC,106.98902893066406,8.07,39.0,34.0,1,4,7,24140.0,57.8,1.0,Medium
2023-12-31,Mayes County,Oklahoma,OK,116.49845886230467,7.13,37.0,44.0,8,6,5,10302.0,43.5,1.0,Medium
2023-12-31,Stanly County,North Carolina,NC,159.97599045213167,8.07,39.0,34.0,3,6,7,19328.0,44.5,1.0,Medium
2023-12-31,Clinton County,Michigan,MI,126.01965217590332,8.34,40.0,24.0,8,2,2,21272.0,57.4,1.0,Medium
2023-12-31,Oneida County,New York,NY,111.32789611816406,12.79,39.0,1.0,6,8,8,54630.0,62.8,3.0,Critical
2023-12-31,Webb County,Texas,TX,165.0947265625,8.19,35.0,30.0,3,2,8,93390.0,95.0,2.0,High
2023-12-31,Broward County,Florida,FL,246.98794555664065,6.97,42.0,45.0,2,5,5,601613.0,71.2,2.0,High
2023-12-31,Kenosha County,Wisconsin,WI,150.061279296875,8.89,40.0,17.0,10,10,6,44219.0,60.3,2.0,High
2023-12-31,Van Wert County,Ohio,OH,74.83867645263672,8.96,39.0,16.0,10,7,9,6708.0,43.3,0.0,Low
2023-12-31,Cleburne County,Alabama,AL,107.2490234375,7.45,39.0,40.0,7,7,9,3552.0,28.8,1.0,Medium
2023-12-31,Choctaw County,Mississippi,MS,56.87624719136875,8.99,38.0,15.0,5,1,5,2312.0,36.1,3.0,Critical
2023-12-31,Gaston County,North Carolina,NC,165.7753448486328,8.07,39.0,34.0,9,6,10,65114.0,50.0,1.0,Medium
2023-12-31,Arapahoe County,Colorado,CO,237.44438018870204,8.31,37.0,26.0,10,1,10,153900.0,68.10000000000001,2.0,High
2023-12-31,Lake County,Illinois,IL,162.5170806022893,9.52,38.0,9.0,4,10,8,150844.0,78.10000000000001,2.0,High
2023-12-31,Door County,Wisconsin,WI,143.32578501596527,8.89,40.0,17.0,4,8,2,6966.0,78.2,2.0,High
2023-12-31,Storey County,Nevada,NV,260.7819626393175,8.23,38.0,29.0,3,4,6,134.0,22.4,2.0,High
2023-12-31,Hancock County,Tennessee,TN,131.4006554539351,5.74,39.0,49.0,7,1,4,2010.0,32.6,1.0,Medium
2023-12-31,Clearwater County,Minnesota,MN,87.95510007630816,9.99,38.0,6.0,1,6,9,2155.0,41.8,1.0,Medium
2023-12-31,Queen Anne's County,Maryland,MD,225.2434997558593,9.32,39.0,12.0,7,5,7,7117.0,67.2,1.0,Medium
2023-12-31,Le Flore County,Oklahoma,OK,100.44650150121925,7.13,37.0,44.0,3,7,9,12482.0,39.0,2.0,High
2023-12-31,Franklin County,Georgia,GA,141.01623931884765,7.91,37.0,35.0,1,8,8,5405.0,35.9,3.0,Critical
2023-12-31,Shenandoah County,Virginia,VA,165.2188282775879,7.86,38.0,37.0,5,6,7,10806.0,56.00000000000001,1.0,Medium
2023-12-31,Clark County,Wisconsin,WI,90.09617632526442,8.89,40.0,17.0,6,8,6,7605.0,37.6,2.0,High
2023-12-31,Gallia County,Ohio,OH,68.5924301147461,8.96,39.0,16.0,6,7,8,7488.0,46.7,2.0,High
2023-12-31,Bristol County,Rhode Island,RI,245.24755859375,9.69,40.0,8.0,7,8,10,13655.0,78.7,3.0,Critical
2023-12-31,Roger Mills County,Oklahoma,OK,101.77772521972656,7.13,37.0,44.0,3,4,2,881.0,36.7,3.0,Critical
2023-12-31,Douglas County,Georgia,GA,141.58718872070312,7.91,37.0,35.0,9,8,6,34898.0,46.3,1.0,Medium
2023-12-31,Murray County,Oklahoma,OK,103.78857421875,7.13,37.0,44.0,8,1,4,4161.0,44.8,0.0,Low
